total_bet,total_win,balance,roi,max_drawdown,boost_periods,reduce_periods,hit_count,hit_rate,lookback,good_threshold,bad_threshold,boost_multiplier,reduce_multiplier,reward_risk_ratio
7263.0,9686.7,2423.7,33.37050805452292,486.4,51,81,69,34.5,8,0.45,0.3,1.5,0.7,0.06846636859770809
7419.0,9893.5,2474.5,33.35355169160264,426.70000000000005,75,61,69,34.5,12,0.35,0.3,1.5,0.6,0.07798352043863137
7419.0,9893.5,2474.5,33.35355169160264,426.70000000000005,75,61,69,34.5,12,0.4,0.25,1.5,0.6,0.07798352043863137
7419.0,9893.5,2474.5,33.35355169160264,426.70000000000005,75,61,69,34.5,12,0.4,0.3,1.5,0.6,0.07798352043863137
7419.0,9893.5,2474.5,33.35355169160264,426.70000000000005,75,61,69,34.5,12,0.35,0.25,1.5,0.6,0.07798352043863137
6972.0,9296.599999999997,2324.6000000000004,33.34193918531268,428.20000000000016,81,62,69,34.5,15,0.35,0.3,1.2,0.6,0.07768392168059803
6972.0,9296.599999999997,2324.6000000000004,33.34193918531268,428.20000000000016,81,62,69,34.5,15,0.4,0.3,1.2,0.6,0.07768392168059803
7290.0,9719.599999999997,2429.6000000000004,33.327846364883406,552.8000000000001,41,25,69,34.5,15,0.45,0.2,1.2,0.6,0.06018029318324919
7290.0,9719.599999999997,2429.6000000000004,33.327846364883406,552.8000000000001,41,25,69,34.5,15,0.45,0.25,1.2,0.6,0.06018029318324919
7827.0,10433.999999999998,2607.0000000000005,33.30778075891146,656.6,42,61,69,34.5,12,0.45,0.25,1.5,0.8,0.05065051818569261
7827.0,10433.999999999998,2607.0000000000005,33.30778075891146,656.6,42,61,69,34.5,12,0.45,0.3,1.5,0.8,0.05065051818569261
7038.0,9381.199999999999,2343.2000000000003,33.293549303779486,420.4000000000001,51,26,69,34.5,8,0.45,0.2,1.2,0.6,0.07900699882244774
7038.0,9381.199999999999,2343.2000000000003,33.293549303779486,420.4000000000001,51,26,69,34.5,8,0.4,0.2,1.2,0.6,0.07900699882244774
7512.0,10010.999999999996,2499.0000000000005,33.2667731629393,554.2000000000002,81,25,69,34.5,15,0.35,0.2,1.2,0.6,0.059918539558608236
7512.0,10010.999999999996,2499.0000000000005,33.2667731629393,554.2000000000002,81,25,69,34.5,15,0.4,0.2,1.2,0.6,0.059918539558608236
7512.0,10010.999999999996,2499.0000000000005,33.2667731629393,554.2000000000002,81,25,69,34.5,15,0.4,0.25,1.2,0.6,0.059918539558608236
7512.0,10010.999999999996,2499.0000000000005,33.2667731629393,554.2000000000002,81,25,69,34.5,15,0.35,0.25,1.2,0.6,0.059918539558608236
7851.0,10462.199999999993,2611.200000000001,33.25945739396256,578.8000000000001,90,47,69,34.5,10,0.4,0.2,1.2,0.8,0.05736367263532694
7851.0,10462.199999999993,2611.200000000001,33.25945739396256,578.8000000000001,90,47,69,34.5,10,0.4,0.25,1.2,0.8,0.05736367263532694
7851.0,10462.199999999993,2611.200000000001,33.25945739396256,578.8000000000001,90,47,69,34.5,10,0.35,0.25,1.2,0.8,0.05736367263532694
