total_bet,total_win,balance,roi,max_drawdown,boost_periods,hit_count,hit_rate,lookback,boost_threshold,boost_multiplier,reward_risk_ratio
8449.5,11484.449999999993,3034.9500000000016,35.91869341381149,764.8499999999999,69,69,34.5,6,0.35,1.15,0.0469004288226304
8449.5,11484.449999999993,3034.9500000000016,35.91869341381149,764.8499999999999,69,69,34.5,6,0.4,1.15,0.0469004288226304
8449.5,11484.449999999993,3034.9500000000016,35.91869341381149,764.8499999999999,69,69,34.5,6,0.5,1.15,0.0469004288226304
8548.5,11618.400000000005,3069.8999999999987,35.91156343218107,785.4,48,69,34.5,10,0.45,1.3,0.045665772421389965
8548.5,11618.400000000005,3069.8999999999987,35.91156343218107,785.4,48,69,34.5,10,0.42,1.3,0.045665772421389965
8548.5,11618.400000000005,3069.8999999999987,35.91156343218107,785.4,48,69,34.5,10,0.5,1.3,0.045665772421389965
8726.25,11855.75,3129.5,35.86305686864346,776.75,81,69,34.5,15,0.35,1.25,0.04611129137723364
8726.25,11855.75,3129.5,35.86305686864346,776.75,81,69,34.5,15,0.38,1.25,0.04611129137723364
8726.25,11855.75,3129.5,35.86305686864346,776.75,81,69,34.5,15,0.4,1.25,0.04611129137723364
8757.0,11890.999999999995,3134.0000000000014,35.78851204750487,746.8000000000001,112,69,34.5,8,0.35,1.2,0.04785840070540902
8433.0,11449.199999999997,3016.2000000000007,35.76663109213804,786.0,42,69,34.5,12,0.42,1.2,0.0454467993546862
8433.0,11449.199999999997,3016.2000000000007,35.76663109213804,786.0,42,69,34.5,12,0.5,1.2,0.0454467993546862
8433.0,11449.199999999997,3016.2000000000007,35.76663109213804,786.0,42,69,34.5,12,0.45,1.2,0.0454467993546862
8818.5,11970.900000000005,3152.3999999999987,35.747576118387464,778.5,81,69,34.5,15,0.35,1.3,0.04585962298702689
8818.5,11970.900000000005,3152.3999999999987,35.747576118387464,778.5,81,69,34.5,15,0.38,1.3,0.04585962298702689
