================================================================================
 生肖TOP4投注策略回测 - 集成优化系统（带自动恢复止损）
================================================================================
回测期数: 200 期
基础投注: 16元/期
命中奖励: 45元
止损规则: 连续失败 3 期暂停
恢复规则: 预测命中 OR 连续暂停 8 期后自动恢复
================================================================================

第118期 2025/11/18 | 预测: 猪,猴,狗,鸡              | 实际: 羊  | 投注:   32元 | [MISS] 未中 -32元 (连败3) [触发止损，暂停投注]         | 余额:   +113元 | ROI:  +7.28%
第119期 2025/11/19 | 预测: 猪,猴,狗,鸡              | 实际: 鸡  | 投注:    0元 | [RESUME] 暂停中(第0期) -> 恢复投注（预测命中）          | 余额:   +113元 | ROI:  +7.28%
第120期 2025/11/20 | 预测: 猪,蛇,猴,兔              | 实际: 兔  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:   +142元 | ROI:  +9.06%
第121期 2025/11/21 | 预测: 猪,蛇,猴,狗              | 实际: 虎  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:   +126元 | ROI:  +7.95%
第122期 2025/11/22 | 预测: 猪,猴,蛇,狗              | 实际: 猪  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:   +155元 | ROI:  +9.69%
第123期 2025/11/23 | 预测: 猴,蛇,牛,狗              | 实际: 蛇  | 投注:   16元 | [HIT] 命中 +29元 (连胜2)                      | 余额:   +184元 | ROI: +11.39%
第124期 2025/11/24 | 预测: 狗,猴,牛,马              | 实际: 兔  | 投注:   16元 | [MISS] 未中 -16元 (连败1)                     | 余额:   +168元 | ROI: +10.29%
第125期 2025/11/25 | 预测: 狗,猴,牛,马              | 实际: 牛  | 投注:   16元 | [HIT] 命中 +29元 (连胜1)                      | 余额:   +197元 | ROI: +11.95%
第126期 2025/11/26 | 预测: 狗,猴,猪,马              | 实际: 马  | 投注:   16元 | [HIT] 命中 +29元 (连胜2)                      | 余额:   +226元 | ROI: +13.58%
第127期 2025/11/27 | 预测: 猴,狗,猪,龙              | 实际: 龙  | 投注:   16元 | [HIT] 命中 +29元 (连胜3)                      | 余额:   +255元 | ROI: +15.18%
