period,date,top4,actual,is_hit,profit,cumulative_profit,consecutive_misses
110,2025/8/20,"['牛', '马', '猴', '虎']",兔,False,-16,-150,1
111,2025/8/21,"['牛', '马', '猴', '羊']",龙,False,-16,-166,2
112,2025/8/22,"['牛', '马', '猴', '虎']",鼠,False,-16,-182,3
113,2025/8/23,"['牛', '马', '猴', '虎']",蛇,False,-16,-198,4
114,2025/8/24,"['牛', '马', '猴', '虎']",蛇,False,-16,-214,5
115,2025/8/25,"['牛', '马', '猴', '虎']",鼠,False,-16,-230,6
116,2025/8/26,"['牛', '马', '猴', '虎']",兔,False,-16,-246,7
117,2025/8/27,"['牛', '马', '猴', '猪']",龙,False,-16,-262,8
118,2025/8/28,"['牛', '马', '猴', '虎']",猴,True,30,-232,0
119,2025/8/29,"['牛', '马', '猪', '虎']",虎,True,30,-202,0
120,2025/8/30,"['牛', '马', '鸡', '猪']",虎,False,-16,-218,1
121,2025/8/31,"['牛', '马', '鸡', '猪']",蛇,False,-16,-234,2
122,2025/9/1,"['牛', '马', '鸡', '猪']",猴,False,-16,-250,3
123,2025/9/2,"['牛', '马', '鸡', '猪']",狗,False,-16,-266,4
124,2025/9/3,"['牛', '马', '鸡', '羊']",马,True,30,-236,0
125,2025/9/4,"['牛', '羊', '鸡', '猪']",狗,False,-16,-252,1
126,2025/9/5,"['牛', '鸡', '羊', '鼠']",鼠,True,30,-222,0
127,2025/9/6,"['牛', '羊', '鸡', '猪']",蛇,False,-16,-238,1
128,2025/9/7,"['牛', '羊', '鸡', '猪']",马,False,-16,-254,2
129,2025/9/8,"['牛', '羊', '鸡', '猪']",羊,True,30,-224,0
130,2025/9/9,"['牛', '鸡', '猪', '猴']",羊,False,-16,-240,1
131,2025/9/10,"['牛', '鸡', '猪', '马']",鸡,True,30,-210,0
132,2025/9/11,"['牛', '猪', '马', '蛇']",牛,True,30,-180,0
133,2025/9/12,"['猪', '猴', '马', '羊']",鼠,False,-16,-196,1
134,2025/9/13,"['猪', '猴', '鸡', '马']",马,True,30,-166,0
135,2025/9/14,"['猪', '猴', '牛', '鸡']",虎,False,-16,-182,1
136,2025/9/15,"['猪', '猴', '狗', '牛']",龙,False,-16,-198,2
137,2025/9/16,"['猪', '猴', '狗', '牛']",羊,False,-16,-214,3
